 
 
 @relation Sittingmovements
@attribute MIN_GyroX numeric
@attribute MAX_GyroX numeric
@attribute Standard_deviation_GyroX numeric
@attribute Median_value_GyroX numeric
@attribute MIN_GyroY numeric
@attribute MAX_GyroY numeric
@attribute Standard_deviation_GyroY numeric
@attribute Median_value_GyroY numeric
@attribute MIN_GyroZ numeric
@attribute MAX_GyroZ numeric
@attribute Standard_deviation_GyroZ numeric
@attribute Median_value_GyroZ numeric
@attribute MIN_GyroX2 numeric
@attribute MAX_GyroX2 numeric
@attribute Standard_deviation_GyroX2 numeric
@attribute Median_value_GyroX2 numeric
@attribute MIN_GyroY2 numeric
@attribute MAX_GyroY2 numeric
@attribute Standard_deviation_GyroY2 numeric
@attribute Median_value_GyroY2 numeric
@attribute MIN_GyroZ2 numeric
@attribute MAX_GyroZ2 numeric
@attribute Standard_deviation_GyroZ2 numeric
@attribute Median_value_GyroZ2 numeric
@attribute MIN_AccelX numeric
@attribute MAX_AccelX numeric
@attribute Standard_deviation_AccelX numeric
@attribute Median_value_AccelX numeric
@attribute MIN_AccelY numeric
@attribute MAX_AccelY numeric
@attribute Standard_deviation_AccelY numeric
@attribute Median_value_AccelY numeric
@attribute MIN_AccelZ numeric
@attribute MAX_AccelZ numeric
@attribute Standard_deviation_AccelZ numeric
@attribute Median_value_AccelZ numeric
@attribute MIN_AccelX2 numeric
@attribute MAX_AccelX2 numeric
@attribute Standard_deviation_AccelX2 numeric
@attribute Median_value_AccelX2 numeric
@attribute MIN_AccelY2 numeric
@attribute MAX_AccelY2 numeric
@attribute Standard_deviation_AccelY2 numeric
@attribute Median_value_AccelY2 numeric
@attribute MIN_AccelZ2 numeric
@attribute MAX_AccelZ2 numeric
@attribute Standard_deviation_AccelZ2 numeric
@attribute Median_value_AccelZ2 numeric
@attribute class {FrontBack, FrontBack-unlocked, LeftRight, DoNothing, Spin, Roll_around, SitDown, StandUp}
@data 
 -0.02, 0.25, 0.038, 0.07345747068882783, -0.24, 0.04, -0.028999999999999998, 0.08141867107733951, -0.03, 0.17, 0.04700000000000001, 0.052735187493740836, -0.07, 0.16, 0.030000000000000006, 0.06228964600958975, -0.19, 0.07, -0.005999999999999999, 0.06711184694225006, -0.06, 0.25, 0.027999999999999997, 0.08096912991998866, -0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, DoNothing
 -0.21, 0.25, -0.004999999999999999, 0.12216791722870615, -1.04, -0.01, -0.298, 0.31265955926534533, -0.07, 1.57, 0.32699999999999996, 0.4929310296583083, -0.07, 1.52, 0.32100000000000006, 0.4764336260173079, -0.19, 0.36, 0.044, 0.13298120167903432, -0.01, 0.87, 0.26, 0.2544798616786798, -0.0, 0.01, 0.003, 0.0045825756949558405, 0.0, 0.01, 0.001, 0.0030000000000000005, 1.0, 1.01, 1.002, 0.0040000000000000036, 1.0, 1.0, 1.0, 0.0, -0.01, -0.0, -0.001, 0.003, -0.01, -0.0, -0.001, 0.0030000000000000005, DoNothing
 -0.05, 0.08, 0.016999999999999998, 0.03634556369077249, -0.07, 0.03, 0.001999999999999999, 0.029933259094191533, -0.32, 0.52, 0.127, 0.23276812496559746, -0.35, 0.45, 0.08299999999999999, 0.22257807618900835, -0.09, 0.05, -0.016999999999999998, 0.04561797891182818, -0.06, 0.03, -0.012, 0.028913664589601918, 0.0, 0.01, 0.009, 0.0029999999999999996, -0.0, -0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.0, -0.0, 0.0, 0.0, SitDown
 -0.05, 0.08, 0.003, 0.039, -0.07, 0.08, -0.004, 0.038262252939417984, -0.57, 0.52, -0.01799999999999999, 0.3535477336937687, -0.6, 0.45, -0.04900000000000001, 0.336940647592421, -0.02, 0.05, 0.023, 0.02282542442102665, -0.04, 0.03, -0.014000000000000002, 0.02615339366124404, 0.0, 0.01, 0.009, 0.0029999999999999996, -0.0, -0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, 0.0, 0.0, 0.0, 0.0, SitDown
 -0.02, 0.03, -0.001000000000000001, 0.018681541692269404, -0.08, 0.08, -0.029000000000000005, 0.04700000000000001, -0.57, 0.07, -0.124, 0.20460694025374604, -0.6, 0.02, -0.139, 0.2030492551082126, -0.02, 0.06, 0.03, 0.02144761058952722, -0.04, 0.06, 9.99999999999999E-4, 0.029816103031751143, 0.0, 0.01, 0.009, 0.0029999999999999996, -0.0, -0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.0, -0.0, 0.0, 0.0, SitDown
 -0.02, 0.24, 0.042, 0.07166589146867566, -0.12, 0.29, 0.003999999999999995, 0.10974515934655159, -0.05, 0.4, 0.1, 0.13364131097830492, -0.06, 0.48, 0.093, 0.17035551062410634, -0.11, 0.06, 0.003999999999999997, 0.05370288632839021, -0.13, 0.08, 0.004999999999999998, 0.05426785420486054, 0.0, 0.01, 0.006, 0.004898979485566357, -0.0, -0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.0, -0.0, 0.0, 0.0, SitDown
 0.0, 0.56, 0.2, 0.17134759992483117, -0.12, 0.6, 0.134, 0.19293522228976231, -3.96, 0.4, -1.059, 1.6666580333109728, -4.12, 0.48, -1.059, 1.6914635674468428, -0.36, 0.06, -0.152, 0.1419718281913704, -0.15, 0.49, 0.094, 0.21832086478392304, 0.0, 0.01, 0.002, 0.003999999999999999, -0.01, 0.0, -0.001, 0.0030000000000000005, 1.0, 1.0, 1.0, 0.0, 0.99, 1.0, 0.998, 0.0040000000000000036, -0.01, 0.0, -0.008, 0.004, -0.01, 0.01, 0.0, 0.00447213595499958, SitDown
 -0.11, 0.56, 0.16699999999999998, 0.19859758306686415, 0.01, 0.6, 0.16, 0.1632176461048253, -3.96, 0.1, -1.8969999999999998, 1.3178926359912633, -4.12, 0.17, -1.9109999999999996, 1.3316039200903549, -0.36, 0.16, -0.171, 0.14638647478507022, -0.15, 0.49, 0.137, 0.2052827318602322, 0.0, 0.01, 0.001, 0.0029999999999999996, -0.01, 0.01, 0.001, 0.005385164807134504, 1.0, 1.0, 1.0, 0.0, 0.99, 1.0, 0.998, 0.004000000000000004, -0.01, 0.0, -0.008, 0.003999999999999999, -0.01, 0.01, -0.002, 0.005999999999999999, SitDown
 -0.11, 0.2, 0.039, 0.0875728268357257, -0.18, 0.16, 0.030000000000000006, 0.10246950765959598, -3.05, -0.12, -1.009, 0.8590162978663443, -3.04, -0.07, -1.021, 0.8547098923026456, -0.19, 0.16, -0.032, 0.10712609392673664, -0.05, 0.25, 0.05, 0.08148619514985346, 0.0, 0.0, 0.0, 0.0, -0.0, 0.01, 0.002, 0.003999999999999999, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.0, -0.002, 0.003999999999999999, SitDown
 -0.56, 0.2, -0.018000000000000006, 0.23667699507979223, -1.83, 0.36, -0.233, 0.6618315495652952, -1.49, 1.94, 0.029000000000000026, 0.840873950125701, -1.45, 0.13, -0.257, 0.48058401970935327, -0.13, 0.3, 0.044000000000000004, 0.10547037498748169, -0.07, 0.11, 0.004000000000000001, 0.0576541412215983, 0.0, 0.01, 0.001, 0.003, 0.0, 0.01, 0.001, 0.003, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.01, -0.0, -0.009, 0.0029999999999999996, -0.0, -0.0, 0.0, 0.0, SitDown
