 @relation Sittingmovements
@attribute MIN_GyroX numeric
@attribute MAX_GyroX numeric
@attribute Standard_deviation_GyroX numeric
@attribute Median_value_GyroX numeric
@attribute MIN_GyroY numeric
@attribute MAX_GyroY numeric
@attribute Standard_deviation_GyroY numeric
@attribute Median_value_GyroY numeric
@attribute MIN_GyroZ numeric
@attribute MAX_GyroZ numeric
@attribute Standard_deviation_GyroZ numeric
@attribute Median_value_GyroZ numeric
@attribute MIN_GyroX2 numeric
@attribute MAX_GyroX2 numeric
@attribute Standard_deviation_GyroX2 numeric
@attribute Median_value_GyroX2 numeric
@attribute MIN_GyroY2 numeric
@attribute MAX_GyroY2 numeric
@attribute Standard_deviation_GyroY2 numeric
@attribute Median_value_GyroY2 numeric
@attribute MIN_GyroZ2 numeric
@attribute MAX_GyroZ2 numeric
@attribute Standard_deviation_GyroZ2 numeric
@attribute Median_value_GyroZ2 numeric
@attribute MIN_AccelX numeric
@attribute MAX_AccelX numeric
@attribute Standard_deviation_AccelX numeric
@attribute Median_value_AccelX numeric
@attribute MIN_AccelY numeric
@attribute MAX_AccelY numeric
@attribute Standard_deviation_AccelY numeric
@attribute Median_value_AccelY numeric
@attribute MIN_AccelZ numeric
@attribute MAX_AccelZ numeric
@attribute Standard_deviation_AccelZ numeric
@attribute Median_value_AccelZ numeric
@attribute MIN_AccelX2 numeric
@attribute MAX_AccelX2 numeric
@attribute Standard_deviation_AccelX2 numeric
@attribute Median_value_AccelX2 numeric
@attribute MIN_AccelY2 numeric
@attribute MAX_AccelY2 numeric
@attribute Standard_deviation_AccelY2 numeric
@attribute Median_value_AccelY2 numeric
@attribute MIN_AccelZ2 numeric
@attribute MAX_AccelZ2 numeric
@attribute Standard_deviation_AccelZ2 numeric
@attribute Median_value_AccelZ2 numeric
@attribute class {FrontBack, FrontBack-unlocked, LeftRight, DoNothing, Spin, Roll_around, SitDown, StandUp}
@data
 -1.71, -1.46, -1.564, 0.06814690014960328, -15.42, -14.33, -14.787, 0.4392732634704734, 0.57, 1.65, 0.748, 0.30534570571730657, 0.62, 1.97, 1.641, 0.4163039754794566, 0.25, 6.33, 2.547, 1.6519082904326134, -1.64, -0.54, -1.0390000000000001, 0.3383031185194721, -0.05, 0.01, -0.012, 0.019390719429665318, -0.01, -0.0, -0.006, 0.004898979485566357, 0.89, 0.89, 0.89, 0.0, -0.97, -0.97, -0.97, 0.0, 0.05, 0.06, 0.054000000000000006, 0.004898979485566354, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, DoNothing
 -1.58, -1.5, -1.533, 0.0197737199332852, -14.37, -14.24, -14.306000000000001, 0.034117444218463945, 0.54, 0.63, 0.6074999999999999, 0.022332711434127298, 1.45, 1.61, 1.5224999999999997, 0.04217522969706274, 2.46, 2.62, 2.5174999999999996, 0.03672533185690765, -1.19, -1.08, -1.126, 0.03322649545167223, -0.05, -0.05, -0.05000000000000001, 6.938893903907228E-18, 0.03, 0.03, 0.030000000000000016, 1.734723475976807E-17, 0.88, 0.89, 0.8895000000000002, 0.002179449471770338, -0.97, -0.96, -0.9644999999999999, 0.004974937185533104, 0.07, 0.07, 0.07000000000000003, 2.7755575615628914E-17, -0.04, -0.04, -0.04000000000000001, 6.938893903907228E-18, DoNothing
 -1.58, -1.51, -1.5390000000000001, 0.01868154169226942, -14.37, -14.23, -14.311999999999998, 0.03515679166249378, 0.57, 0.62, 0.601, 0.012206555615733711, 1.47, 1.59, 1.5390000000000001, 0.035623026261113785, 2.47, 2.58, 2.528, 0.03399999999999992, -1.18, -1.11, -1.141, 0.02426932219902313, -0.05, -0.05, -0.049999999999999996, 6.938893903907228E-18, 0.03, 0.03, 0.030000000000000006, 6.938893903907228E-18, 0.89, 0.89, 0.89, 0.0, -0.97, -0.96, -0.9649999999999999, 0.0050000000000000044, 0.07, 0.07, 0.07000000000000002, 1.3877787807814457E-17, -0.04, -0.04, -0.039999999999999994, 6.938893903907228E-18, DoNothing
 -1.57, -1.52, -1.5480000000000003, 0.016000000000000014, -14.33, -14.23, -14.3, 0.033166247903553984, 0.6, 0.64, 0.615, 0.015652475842498542, 1.5, 1.58, 1.548, 0.025612496949731417, 2.51, 2.58, 2.538, 0.024819347291981743, -1.18, -1.11, -1.1300000000000001, 0.022360679774997838, -0.05, -0.05, -0.049999999999999996, 6.938893903907228E-18, 0.03, 0.03, 0.030000000000000006, 6.938893903907228E-18, 0.89, 0.89, 0.89, 0.0, -0.97, -0.96, -0.9629999999999999, 0.004582575694955844, 0.07, 0.07, 0.07000000000000002, 1.3877787807814457E-17, -0.04, -0.04, -0.039999999999999994, 6.938893903907228E-18, DoNothing
 -0.01, 0.02, 0.008, 0.008717797887081347, -0.03, 0.03, -0.003, 0.021, -0.02, 0.04, 0.023, 0.019519221295943134, -0.01, -0.0, -0.009, 0.0029999999999999996, -0.01, -0.0, -0.009, 0.0029999999999999996, -0.01, -0.0, -0.009, 0.0029999999999999996, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.65, 1.0, 0.9480000000000001, 0.10562196741208715, 0.65, 1.0, 0.9470000000000001, 0.10517128885774861, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, DoNothing
 0.0, 0.03, 0.012, 0.009797958971132713, -0.03, 0.08, 0.016999999999999998, 0.03551056180912941, -0.02, 0.04, 0.009000000000000001, 0.018138357147217055, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, DoNothing
 -0.03, 0.03, -0.002000000000000001, 0.017776388834631177, 0.0, 0.08, 0.045, 0.021563858652847826, -0.02, 0.02, 0.001, 0.011357816691600547, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, DoNothing
 -0.03, 0.02, -0.009999999999999998, 0.014832396974191326, 0.02, 0.07, 0.051000000000000004, 0.017, -0.02, 0.02, 0.003, 0.011874342087037918, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, DoNothing
 -0.03, 0.03, -0.0010000000000000002, 0.016999999999999998, -0.01, 0.07, 0.03600000000000001, 0.026153393661244043, -0.01, 0.02, 0.01, 0.01, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, DoNothing
 -0.02, 0.04, 0.009, 0.019209372712298545, -0.01, 0.07, 0.028000000000000004, 0.021354156504062624, -0.02, 0.02, 0.004999999999999999, 0.014317821063276354, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, DoNothing
